tuxedo_suite_id,ncbi_id,gene_acronym,fpkm_thi+,fpkm_thi-,log2_fc_thi-_over_thi+,fdr_corrected_q-value,gene_interpretation_uniprot,gene_interpretation_entrez_nucleotide,uniprot_link,entrez_nucleotide_link
XLOC_000810,XM_716353.2,SNZ1,625.146,3744.79,2.58262,0.0242042,Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing),Candida albicans SC5314 pyridoxine biosynthesis protein (SNZ1),https://www.uniprot.org/uniprot/Q5AIA6,https://www.ncbi.nlm.nih.gov/nuccore/XM_716353.2
XLOC_001570,XM_715917.2,THI20,12.6834,281.529,4.47228,0.0242042,Trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase,Candida albicans SC5314 trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase (THI20),https://www.uniprot.org/uniprot/A0A1D8PH02,https://www.ncbi.nlm.nih.gov/nuccore/XM_715917.2
XLOC_001980,XM_714404.1,CAALFM_C200760CA,27.4395,222.753,3.02112,0.0242042,Uncharacterized protein,Candida albicans SC5314 hypothetical protein (CAALFM_C200760CA),https://www.uniprot.org/uniprot/Q5AD19,https://www.ncbi.nlm.nih.gov/nuccore/XM_714404.1
XLOC_002568,XM_714882.1,THI6,18.2057,489.726,4.74951,0.0242042,"4-methyl-5-beta-hydroxyethylthiazole kinase. This protein is involved in step 1 of the subpathway that synthesizes thiamine phosphate from 4-amino-2-methyl-5-diphosphomethylpyrimidine and 4-methyl-5-(2-phosphoethyl)-thiazole. This subpathway is part of the pathway thiamine diphosphate biosynthesis, which is itself part of Cofactor biosynthesis.",Candida albicans SC5314 bifunctional hydroxyethylthiazole kinase/thiamine-phosphate diphosphorylase (THI6),https://www.uniprot.org/uniprot/Q5AEJ1,https://www.ncbi.nlm.nih.gov/nuccore/XM_714882.1
XLOC_003073,XM_718104.1,THI4,6.10513,23755.6,11.926,0.0242042,"Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-dependent sulfide transfer from a conserved cysteine residue of the protein to a thiazole intermediate. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. May have additional roles in adaptation to various stress conditions and in DNA damage tolerance.",Candida albicans SC5314 thiamine thiazole synthase (THI4),https://www.uniprot.org/uniprot/Q5ANB7,https://www.ncbi.nlm.nih.gov/nuccore/XM_718104.1
XLOC_003202,XM_708223.1,PGA7,26.3351,146.691,2.47772,0.0242042,"GPI-linked hyphal surface heme-binding protein involved in heme-iron utilization. Heme transfer occurs between PGA7, RBT5 and CSA2 supporting a model in which the 3 CFEM proteins cooperate in a heme-acquisition system and form a cross-cell wall heme-transfer cascade. The ability to acquire iron from host tissues is a major virulence factor of pathogenic microorganisms. Required for biofilm formation.",Candida albicans SC5314 Pga7p (PGA7),https://www.uniprot.org/uniprot/Q59UT5,https://www.ncbi.nlm.nih.gov/nuccore/XM_708223.1
XLOC_003381,XM_706462.1,CAALFM_C404230WA,19.7682,797.153,5.33361,0.0242042,MFS domain-containing protein. transmembrane transporter activity. ,Candida albicans SC5314 hypothetical protein (CAALFM_C404230WA),https://www.uniprot.org/uniprot/Q59P89,https://www.ncbi.nlm.nih.gov/nuccore/XM_706462.1
XLOC_003841,XM_710446.2,CSO99,57.5552,197.58,1.77942,0.0242042,Cso99p.,Candida albicans SC5314 Cso99p (CSO99),https://www.uniprot.org/uniprot/A0A1D8PML8,https://www.ncbi.nlm.nih.gov/nuccore/XM_710446.2
XLOC_004287,XM_706317.1,CAALFM_C503480CA,100.4,1523.07,3.92315,0.0242042,"Uncharacterized protein. spermidine transmembrane transporter activity. GO Bioogical Processes include a) cellular response to metal ion, b) cellular response to starvation, c) filamentous growth, d) intracellular pH elevation, e) spermidine transport",Candida albicans SC5314 hypothetical protein (CAALFM_C503480CA),https://www.uniprot.org/uniprot/A0A1D8PNR5,https://www.ncbi.nlm.nih.gov/nuccore/XM_706317.1
XLOC_004867,XM_715242.1,CAALFM_C700770WA,22.8126,69.1009,1.59888,0.0446846,Uncharacterized protein. ,Candida albicans SC5314 hypothetical protein (CAALFM_C700770WA),https://www.uniprot.org/uniprot/A0A1D8PQQ4,https://www.ncbi.nlm.nih.gov/nuccore/XM_715242.1
